"","orient","site",".value"
"220","top - bot","fb",-2.10613194797009
"221","top - bot","fb",-1.98343833422062
"222","top - bot","fb",-2.37373295973387
"223","top - bot","fb",-2.40451894492487
"224","top - bot","fb",-2.03779607437051
"225","top - bot","fb",-2.06408380192603
"226","top - bot","fb",-1.58634046800687
"227","top - bot","fb",-1.80434172951738
"228","top - bot","fb",-1.84283095330478
"229","top - bot","fb",-1.61316533632713
"230","top - bot","fb",-1.63896572922735
"231","top - bot","fb",-1.35963225669895
"232","top - bot","fb",-1.74828058703656
"233","top - bot","fb",-1.38073695327089
"234","top - bot","fb",-2.19945806149596
"235","top - bot","fb",-2.45909337519493
"236","top - bot","fb",-2.89706260026592
"237","top - bot","fb",-3.06344053323007
"238","top - bot","fb",-2.70376650590961
"239","top - bot","fb",-2.46465709041368
"240","top - bot","fb",-2.76640503675374
"241","top - bot","fb",-2.11539720258527
"242","top - bot","fb",-2.40166677131964
"243","top - bot","fb",-2.58270351272063
"244","top - bot","fb",-2.20137780819345
"245","top - bot","fb",-2.30701018474893
"246","top - bot","fb",-2.34527449468815
"247","top - bot","fb",-1.68053733215302
"248","top - bot","fb",-1.24843767367694
"249","top - bot","fb",-1.43380270469612
"250","top - bot","fb",-1.54820801453125
"251","top - bot","fb",-1.61294020779415
"252","top - bot","fb",-1.9672469842276
"253","top - bot","fb",-2.0727292714642
"254","top - bot","fb",-2.09268100694361
"255","top - bot","fb",-1.95163599203116
"256","top - bot","fb",-2.55142756047154
"257","top - bot","fb",-1.85167241743288
"258","top - bot","fb",-1.77169832719587
"259","top - bot","fb",-1.72996655451375
"260","top - bot","fb",-2.0504730519795
"261","top - bot","fb",-1.81592684329179
"262","top - bot","fb",-1.28096175456939
"263","top - bot","fb",-1.30280568564961
"264","top - bot","fb",-1.22839151690097
"265","top - bot","fb",-1.52035552155912
"266","top - bot","fb",-1.90437903790682
"267","top - bot","fb",-2.07808764605156
"268","top - bot","fb",-1.83236265134546
"269","top - bot","fb",-2.04014861242025
"270","top - bot","fb",-1.93698425589348
"271","top - bot","fb",-2.14804327398588
"272","top - bot","fb",-1.52239428051798
"273","top - bot","fb",-1.80138822775694
"274","top - bot","fb",-1.73729613789722
"275","top - bot","fb",-1.86596546276926
"276","top - bot","fb",-1.67544416268325
"277","top - bot","fb",-2.13097581523531
"278","top - bot","fb",-1.84277994398775
"279","top - bot","fb",-2.2432547719916
"280","top - bot","fb",-1.2289721775931
"281","top - bot","fb",-1.55977261858947
"282","top - bot","fb",-1.70784797368678
"283","top - bot","fb",-1.93308852199819
"284","top - bot","fb",-1.85004534013755
"285","top - bot","fb",-1.69735252752141
"286","top - bot","fb",-2.24152412587409
"287","top - bot","fb",-2.22653498838441
"288","top - bot","fb",-1.82265059692938
"289","top - bot","fb",-1.91662651497064
"290","top - bot","fb",-1.91058220496762
"291","top - bot","fb",-1.66382914880112
"292","top - bot","fb",-1.9033767136473
"293","top - bot","fb",-1.98285925834073
"294","top - bot","fb",-1.95334460520929
"295","top - bot","fb",-1.66225492639788
"296","top - bot","fb",-1.25058540186696
"297","top - bot","fb",-1.67631050535934
